Quarter,Year,Company_Name,Ticker,SharePrice_USD,Expenses_B_USD,Revenue_B_USD,CashFlow_B_USD,DividendYield_Percent,US_Unemployment_Percent,Brent_USD,LNG_USD,US_Interest_Percent
4,2005,Shell,RDS-A,65,67.55,75.50,9.35,0.0056,0.050,57,12.4,0.0398
4,2005,Total,TOT,63,58.68,64.01,0.32,0.0179,0.050,57,12.4,0.0398
1,2006,Exxon,XOM,60,65.51,88.98,10.90,0.0032,0.048,62,8.96,0.0445
1,2006,BP,BP,69,54.95,63.29,5.50,0.0056,0.048,62,8.96,0.0445
1,2006,Equinor,EQNR,26,11.91,16.64,1.62,0.0000,0.048,62,8.96,0.0445
1,2006,Chevron,CVX,58,46.82,54.62,3.20,0.0045,0.048,62,8.96,0.0445
1,2006,Shell,RDS-A,66,65.80,75.96,3.68,0.0056,0.048,62,8.96,0.0445
1,2006,Total,TOT,63,33.88,42.40,3.38,0.0000,0.048,62,8.96,0.0445
2,2006,Exxon,XOM,61,72.26,99.03,7.44,0.0032,0.047,69,7.38,0.0491
2,2006,BP,BP,71,63.08,73.17,5.56,0.0056,0.047,69,7.38,0.0491
2,2006,Equinor,EQNR,30,12.26,17.05,1.53,0.0055,0.047,69,7.38,0.0491
2,2006,Chevron,CVX,60,45.01,53.54,2.42,0.0052,0.047,69,7.38,0.0491
2,2006,Shell,RDS-A,69,72.52,83.13,1.02,0.0056,0.047,69,7.38,0.0491
2,2006,Total,TOT,66,36.98,45.74,2.06,0.0207,0.047,69,7.38,0.0491
3,2006,Exxon,XOM,67,73.08,99.59,10.78,0.0032,0.047,70,4.63,0.0525
3,2006,BP,BP,69,62.08,73.00,1.08,0.0059,0.047,70,4.63,0.0525
3,2006,Equinor,EQNR,28,11.71,16.32,0.96,0.0000,0.047,70,4.63,0.0525
3,2006,Chevron,CVX,65,44.76,54.21,3.29,0.0052,0.047,70,4.63,0.0525
3,2006,Shell,RDS-A,71,75.00,84.25,4.35,0.0063,0.047,70,4.63,0.0525
3,2006,Total,TOT,66,35.63,42.51,3.62,0.0000,0.047,70,4.63,0.0525
4,2006,Exxon,XOM,73,97.68,90.03,4.70,0.0032,0.047,60,6.99,0.0524
4,2006,BP,BP,67,56.80,66.64,0.91,0.0059,0.045,60,6.99,0.0524
4,2006,Equinor,EQNR,26,14.05,18.86,-1.07,0.0000,0.045,60,6.99,0.0524
4,2006,Chevron,CVX,69,31.47,47.75,1.60,0.0052,0.045,60,6.99,0.0524
4,2006,Shell,RDS-A,71,67.85,75.50,-0.28,0.0063,0.045,60,6.99,0.0524
4,2006,Total,TOT,69,37.34,44.80,-1.32,0.0111,0.045,60,6.99,0.0524
1,2007,Exxon,XOM,73,63.52,87.22,11.18,0.0032,0.046,58,9.37,0.0525
1,2007,BP,BP,63,56.01,61.31,4.26,0.0062,0.046,58,9.37,0.0525
1,2007,Equinor,EQNR,26,12.62,16.53,1.66,0.0000,0.046,58,9.37,0.0525
1,2007,Chevron,CVX,71,38.15,48.23,2.43,0.0052,0.046,58,9.37,0.0525
1,2007,Shell,RDS-A,66,65.08,73.48,5.48,0.0065,0.046,58,9.37,0.0525
1,2007,Total,TOT,68,34.56,42.31,5.70,0.0000,0.046,58,9.37,0.0525
2,2007,Exxon,XOM,81,72.33,98.35,7.53,0.0035,0.046,69,7.88,0.0525
2,2007,BP,BP,68,63.34,73.08,2.05,0.0062,0.046,69,7.88,0.0525
2,2007,Equinor,EQNR,28,14.08,18.48,0.76,0.0067,0.046,69,7.88,0.0525
2,2007,Chevron,CVX,80,44.34,56.09,2.80,0.0058,0.046,69,7.88,0.0525
2,2007,Shell,RDS-A,74,74.42,84.90,2.94,0.0072,0.046,69,7.88,0.0525
2,2007,Total,TOT,75,36.74,45.34,1.46,0.0134,0.046,69,7.88,0.0525
3,2007,Exxon,XOM,87,77.25,102.34,11.13,0.0035,0.047,75,7.56,0.0507
3,2007,BP,BP,69,66.14,71.33,1.54,0.0065,0.047,75,7.56,0.0507
3,2007,Equinor,EQNR,30,15.79,20.31,3.24,0.0000,0.047,75,7.56,0.0507
3,2007,Chevron,CVX,88,45.61,55.17,1.28,0.0058,0.047,75,7.56,0.0507
3,2007,Shell,RDS-A,80,81.16,90.70,3.37,0.0072,0.047,75,7.56,0.0507
3,2007,Total,TOT,78,40.09,48.46,1.95,0.0000,0.047,75,7.56,0.0507
4,2007,Exxon,XOM,91,87.85,116.64,6.78,0.0035,0.049,88,8.68,0.0450
4,2007,BP,BP,74,71.15,84.44,-0.97,0.0065,0.049,88,8.68,0.0450
4,2007,Equinor,EQNR,32,25.57,37.07,-1.43,0.0000,0.049,88,8.68,0.0450
4,2007,Chevron,CVX,90,50.24,61.41,1.79,0.0058,0.049,88,8.68,0.0450
4,2007,Shell,RDS-A,82,94.32,106.70,-1.90,0.0072,0.049,88,8.68,0.0450
4,2007,Total,TOT,80,47.35,58.31,1.24,0.0146,0.049,88,8.68,0.0450
1,2008,Exxon,XOM,87,96.25,116.85,17.44,0.0035,0.050,97,11.84,0.0318
1,2008,BP,BP,65,76.94,87.75,6.49,0.0081,0.050,97,11.84,0.0318
1,2008,Equinor,EQNR,29,20.85,30.94,2.84,0.0000,0.050,97,11.84,0.0318
1,2008,Chevron,CVX,85,56.24,65.95,3.66,0.0058,0.050,97,11.84,0.0318
1,2008,Shell,RDS-A,71,101.36,114.30,9.18,0.0072,0.050,97,11.84,0.0318
1,2008,Total,TOT,76,50.27,62.05,4.72,0.0000,0.050,97,11.84,0.0318
2,2008,Exxon,XOM,90,115.53,138.07,8.55,0.0040,0.054,121,15.46,0.0208
2,2008,BP,BP,70,96.23,110.90,2.00,0.0081,0.054,121,15.46,0.0208
2,2008,Equinor,EQNR,37,21.22,33.52,2.18,0.0082,0.054,121,15.46,0.0208
2,2008,Chevron,CVX,96,71.22,82.99,2.69,0.0065,0.054,121,15.46,0.0208
2,2008,Shell,RDS-A,78,114.11,131.42,-7.76,0.0080,0.054,121,15.46,0.0208
2,2008,Total,TOT,83,53.53,68.20,-1.11,0.0168,0.054,121,15.46,0.0208
3,2008,Exxon,XOM,80,101.40,137.74,9.26,0.0040,0.061,115,8.4,0.0194
3,2008,BP,BP,59,93.35,103.37,7.04,0.0084,0.061,115,8.4,0.0194
3,2008,Equinor,EQNR,30,21.60,29.61,2.23,0.0000,0.061,115,8.4,0.0194
3,2008,Chevron,CVX,86,64.53,78.87,4.45,0.0065,0.061,115,8.4,0.0194
3,2008,Shell,RDS-A,68,122.72,131.57,4.03,0.0080,0.061,115,8.4,0.0194
3,2008,Total,TOT,72,52.44,62.02,5.83,0.0000,0.061,115,8.4,0.0194
4,2008,Exxon,XOM,75,63.57,84.70,5.16,0.0040,0.070,55,6.87,0.0051
4,2008,BP,BP,46,67.24,66.03,-0.10,0.0084,0.070,55,6.87,0.0051
4,2008,Equinor,EQNR,17,7.07,8.22,-2.48,0.0000,0.070,55,6.87,0.0051
4,2008,Chevron,CVX,72,37.96,45.20,-0.83,0.0065,0.070,55,6.87,0.0051
4,2008,Shell,RDS-A,50,75.77,81.07,3.40,0.0080,0.070,55,6.87,0.0051
4,2008,Total,TOT,52,45.72,44.87,0.04,0.0142,0.070,55,6.87,0.0051
1,2009,Exxon,XOM,73,56.07,64.03,4.24,0.0040,0.084,45,4.31,0.0018
1,2009,BP,BP,41,43.45,48.00,0.76,0.0084,0.084,45,4.31,0.0018
1,2009,Equinor,EQNR,17,11.47,16.74,-1.72,0.0000,0.084,45,4.31,0.0018
1,2009,Chevron,CVX,68,32.95,35.52,-3.58,0.0065,0.084,45,4.31,0.0018
1,2009,Shell,RDS-A,46,53.43,58.22,1.57,0.0080,0.084,45,4.31,0.0018
1,2009,Total,TOT,50,28.75,33.79,2.00,0.0000,0.084,45,4.31,0.0018
2,2009,Exxon,XOM,69,66.60,74.46,-3.37,0.0042,0.094,59,4.42,0.0018
2,2009,BP,BP,46,49.25,56.04,1.55,0.0084,0.094,59,4.42,0.0018
2,2009,Equinor,EQNR,20,12.58,16.36,1.73,0.0069,0.094,59,4.42,0.0018
2,2009,Chevron,CVX,67,36.85,39.47,-1.15,0.0065,0.094,59,4.42,0.0018
2,2009,Shell,RDS-A,49,59.97,63.88,-5.89,0.0084,0.094,59,4.42,0.0018
2,2009,Total,TOT,53,32.16,37.28,2.00,0.0158,0.094,59,4.42,0.0018
3,2009,Exxon,XOM,69,72.99,80.59,3.34,0.0042,0.098,68,3.86,0.0015
3,2009,BP,BP,51,60.17,66.42,3.12,0.0084,0.098,68,3.86,0.0015
3,2009,Equinor,EQNR,21,16.43,21.32,0.81,0.0000,0.098,68,3.86,0.0015
3,2009,Chevron,CVX,68,40.42,45.55,2.59,0.0068,0.098,68,3.86,0.0015
3,2009,Shell,RDS-A,53,71.27,75.76,0.62,0.0084,0.098,68,3.86,0.0015
3,2009,Total,TOT,56,36.90,42.20,-1.81,0.0000,0.098,68,3.86,0.0015
4,2009,Exxon,XOM,72,79.60,87.43,1.74,0.0042,0.101,75,6.91,0.0012
4,2009,BP,BP,57,64.17,74.87,1.64,0.0084,0.101,75,6.91,0.0012
4,2009,Equinor,EQNR,25,15.49,21.22,-1.05,0.0000,0.101,75,6.91,0.0012
4,2009,Chevron,CVX,77,42.86,47.78,1.67,0.0068,0.101,75,6.91,0.0012
4,2009,Shell,RDS-A,59,78.18,86.05,-1.34,0.0084,0.101,75,6.91,0.0012
4,2009,Total,TOT,62,37.46,42.28,2.48,0.0170,0.101,75,6.91,0.0012
1,2010,Exxon,XOM,67,78.13,90.25,7.29,0.0042,0.099,76,4.63,0.0013
1,2010,BP,BP,57,64.65,74.38,3.40,0.0084,0.099,76,4.63,0.0013
1,2010,Equinor,EQNR,23,15.05,21.66,0.77,0.0000,0.099,76,4.63,0.0013
1,2010,Chevron,CVX,75,40.51,46.94,3.55,0.0068,0.099,76,4.63,0.0013
1,2010,Shell,RDS-A,55,77.80,88.03,-0.47,0.0084,0.099,76,4.63,0.0013
1,2010,Total,TOT,59,44.52,38.10,-1.94,0.0000,0.099,76,4.63,0.0013
2,2010,Exxon,XOM,64,79.74,92.49,3.59,0.0044,0.098,78,5.33,0.0019
2,2010,BP,BP,46,100.06,74.90,2.48,0.0000,0.098,78,5.33,0.0019
2,2010,Equinor,EQNR,22,15.75,19.84,0.70,0.0078,0.098,78,5.33,0.0019
2,2010,Chevron,CVX,77,44.22,51.35,3.05,0.0072,0.098,78,5.33,0.0019
2,2010,Shell,RDS-A,54,82.94,91.86,1.58,0.0084,0.098,78,5.33,0.0019
2,2010,Total,TOT,51,44.26,37.54,2.41,0.0118,0.098,78,5.33,0.0019
3,2010,Exxon,XOM,60,82.39,92.86,5.28,0.0044,0.097,77,4.52,0.0019
3,2010,BP,BP,37,72.36,72.03,-5.39,0.0000,0.097,77,4.52,0.0019
3,2010,Equinor,EQNR,20,16.95,21.77,0.35,0.0000,0.097,77,4.52,0.0019
3,2010,Chevron,CVX,76,42.84,48.48,2.39,0.0072,0.097,77,4.52,0.0019
3,2010,Shell,RDS-A,54,87.04,91.73,-0.59,0.0084,0.097,77,4.52,0.0019
3,2010,Total,TOT,50,48.01,41.22,2.19,0.0000,0.097,77,4.52,0.0019
4,2010,Exxon,XOM,69,89.75,101.73,5.39,0.0044,0.097,87,4.94,0.0019
4,2010,BP,BP,42,73.57,75.80,-5.30,0.0000,0.097,87,4.94,0.0019
4,2010,Equinor,EQNR,22,16.87,23.89,-1.39,0.0000,0.097,87,4.94,0.0019
4,2010,Chevron,CVX,85,45.26,52.52,2.75,0.0072,0.097,87,4.94,0.0019
4,2010,Shell,RDS-A,63,94.04,106.84,-0.12,0.0084,0.097,87,4.94,0.0019
4,2010,Total,TOT,53,44.12,40.65,-1.64,0.0135,0.097,87,4.94,0.0019
1,2011,Exxon,XOM,81,95.06,110.18,9.81,0.0044,0.091,105,4.96,0.0015
1,2011,BP,BP,47,76.20,85.33,-3.37,0.0042,0.091,105,4.96,0.0015
1,2011,Equinor,EQNR,25,18.07,27.11,0.22,0.0000,0.091,105,4.96,0.0015
1,2011,Chevron,CVX,98,49.22,58.65,5.17,0.0072,0.091,105,4.96,0.0015
1,2011,Shell,RDS-A,70,98.02,112.26,4.48,0.0084,0.091,105,4.96,0.0015
1,2011,Total,TOT,58,58.74,47.87,0.48,0.0000,0.091,105,4.96,0.0015
2,2011,Exxon,XOM,82,106.82,121.77,5.08,0.0047,0.092,117,4.86,0.0009
2,2011,BP,BP,45,93.64,102.14,3.56,0.0042,0.092,117,4.86,0.0009
2,2011,Equinor,EQNR,26,20.05,31.32,2.43,0.0115,0.092,117,4.86,0.0009
2,2011,Chevron,CVX,104,50.48,67.07,2.92,0.0078,0.092,117,4.86,0.0009
2,2011,Shell,RDS-A,72,109.31,124.56,5.06,0.0084,0.092,117,4.86,0.0009
2,2011,Total,TOT,58,58.58,50.37,2.68,0.0161,0.092,117,4.86,0.0009
3,2011,Exxon,XOM,76,106.55,121.42,7.37,0.0047,0.092,113,4.16,0.0008
3,2011,BP,BP,41,90.10,102.14,2.75,0.0042,0.092,113,4.16,0.0008
3,2011,Equinor,EQNR,23,21.98,28.69,-0.15,0.0000,0.092,113,4.16,0.0008
3,2011,Chevron,CVX,99,51.09,62.21,4.75,0.0078,0.092,113,4.16,0.0008
3,2011,Shell,RDS-A,68,113.09,123.41,4.38,0.0084,0.092,113,4.16,0.0008
3,2011,Total,TOT,49,49.16,56.40,2.94,0.0076,0.092,113,4.16,0.0008
4,2011,Exxon,XOM,79,104.49,117.78,2.12,0.0047,0.088,109,3.39,0.0007
4,2011,BP,BP,42,84.73,94.82,-0.53,0.0042,0.088,109,3.39,0.0007
4,2011,Equinor,EQNR,25,18.84,28.29,0.73,0.0000,0.088,109,3.39,0.0007
4,2011,Chevron,CVX,102,58.11,58.42,1.77,0.0081,0.088,109,3.39,0.0007
4,2011,Shell,RDS-A,71,107.04,115.58,-3.45,0.0084,0.088,109,3.39,0.0007
4,2011,Total,TOT,50,43.61,48.00,-3.85,0.0074,0.088,109,3.39,0.0007
1,2012,Exxon,XOM,86,106.43,119.84,11.44,0.0047,0.083,119,2.24,0.0010
1,2012,BP,BP,46,87.31,94.97,-2.07,0.0048,0.083,119,2.24,0.0010
1,2012,Equinor,EQNR,27,24.14,34.22,-1.88,0.0000,0.083,119,2.24,0.0010
1,2012,Chevron,CVX,108,48.64,59.00,2.49,0.0081,0.083,119,2.24,0.0010
1,2012,Shell,RDS-A,73,107.87,119.92,6.98,0.0084,0.083,119,2.24,0.0010
1,2012,Total,TOT,54,52.46,62.40,0.05,0.0075,0.083,119,2.24,0.0010
2,2012,Exxon,XOM,83,93.10,123.71,1.87,0.0057,0.083,108,3.06,0.0015
2,2012,BP,BP,40,91.94,94.08,-0.50,0.0048,0.083,108,3.06,0.0015
2,2012,Equinor,EQNR,25,23.28,33.62,1.02,0.0107,0.083,108,3.06,0.0015
2,2012,Chevron,CVX,102,44.83,60.52,2.85,0.0090,0.083,108,3.06,0.0015
2,2012,Shell,RDS-A,68,109.53,117.07,6.27,0.0086,0.083,108,3.06,0.0015
2,2012,Total,TOT,46,51.17,56.43,2.58,0.0071,0.083,108,3.06,0.0015
3,2012,Exxon,XOM,88,98.33,112.32,5.42,0.0057,0.082,110,3.41,0.0014
3,2012,BP,BP,42,84.27,91.20,0.55,0.0048,0.082,110,3.41,0.0014
3,2012,Equinor,EQNR,25,21.93,29.06,1.17,0.0000,0.082,110,3.41,0.0014
3,2012,Chevron,CVX,111,48.11,56.77,0.24,0.0090,0.082,110,3.41,0.0014
3,2012,Shell,RDS-A,72,102.39,112.12,1.07,0.0086,0.082,110,3.41,0.0014
3,2012,Total,TOT,48,50.98,58.40,0.84,0.0073,0.082,110,3.41,0.0014
4,2012,Exxon,XOM,89,97.36,97.25,3.17,0.0057,0.079,110,3.83,0.0016
4,2012,BP,BP,42,99.05,95.32,-0.61,0.0054,0.079,110,3.83,0.0016
4,2012,Equinor,EQNR,25,20.15,28.28,2.49,0.0000,0.079,110,3.83,0.0016
4,2012,Chevron,CVX,109,48.58,54.31,2.29,0.0090,0.079,110,3.83,0.0016
4,2012,Shell,RDS-A,70,109.79,118.05,-0.76,0.0086,0.079,110,3.83,0.0016
4,2012,Total,TOT,50,54.29,60.13,-0.23,0.0077,0.079,110,3.83,0.0016
1,2013,Exxon,XOM,89,92.75,103.83,6.10,0.0057,0.078,112,4.44,0.0014
1,2013,BP,BP,42,87.00,94.11,-1.76,0.0054,0.078,112,4.44,0.0014
1,2013,Equinor,EQNR,25,21.14,27.71,1.85,0.0000,0.078,112,4.44,0.0014
1,2013,Chevron,CVX,116,46.54,54.30,-2.48,0.0090,0.078,112,4.44,0.0014
1,2013,Shell,RDS-A,69,101.41,112.81,3.70,0.0086,0.078,112,4.44,0.0014
1,2013,Total,TOT,51,49.11,56.26,-1.53,0.0081,0.078,112,4.44,0.0014
2,2013,Exxon,XOM,90,93.62,102.85,-0.97,0.0063,0.077,103,3.92,0.0012
2,2013,BP,BP,43,90.74,94.71,-0.72,0.0054,0.077,103,3.92,0.0012
2,2013,Equinor,EQNR,23,18.73,24.33,-3.77,0.0000,0.077,103,3.92,0.0012
2,2013,Chevron,CVX,121,48.78,55.31,-0.05,0.0100,0.077,103,3.92,0.0012
2,2013,Shell,RDS-A,68,108.60,112.67,3.46,0.0090,0.077,103,3.92,0.0012
2,2013,Total,TOT,49,49.69,55.30,-1.99,0.0077,0.077,103,3.92,0.0012
3,2013,Exxon,XOM,90,98.13,108.39,4.33,0.0063,0.074,110,3.81,0.0009
3,2013,BP,BP,42,92.11,96.60,0.45,0.0054,0.074,110,3.81,0.0009
3,2013,Equinor,EQNR,22,20.56,27.07,2.55,0.0116,0.074,110,3.81,0.0009
3,2013,Chevron,CVX,123,49.67,56.60,0.71,0.0100,0.074,110,3.81,0.0009
3,2013,Shell,RDS-A,68,108.67,116.51,1.62,0.0090,0.074,110,3.81,0.0009
3,2013,Total,TOT,54,50.99,56.71,2.45,0.0080,0.074,110,3.81,0.0009
4,2013,Exxon,XOM,92,96.30,106.02,1.78,0.0063,0.071,109,4.74,0.0009
4,2013,BP,BP,46,90.39,93.72,-1.38,0.0057,0.071,109,4.74,0.0009
4,2013,Equinor,EQNR,23,16.80,23.20,-2.42,0.0000,0.071,109,4.74,0.0009
4,2013,Chevron,CVX,121,47.96,53.95,-1.16,0.0100,0.071,109,4.74,0.0009
4,2013,Shell,RDS-A,70,105.05,109.24,-8.48,0.0090,0.071,109,4.74,0.0009
4,2013,Total,TOT,60,53.20,58.77,-0.04,0.0081,0.071,109,4.74,0.0009
1,2014,Exxon,XOM,95,91.48,101.76,7.78,0.0063,0.067,108,4.86,0.0007
1,2014,BP,BP,48,87.02,91.71,2.34,0.0057,0.067,108,4.86,0.0007
1,2014,Equinor,EQNR,26,19.75,28.29,4.38,0.0000,0.067,108,4.86,0.0007
1,2014,Chevron,CVX,116,45.34,50.98,-0.13,0.0100,0.067,108,4.86,0.0007
1,2014,Shell,RDS-A,76,103.08,109.66,6.59,0.0090,0.067,108,4.86,0.0007
1,2014,Total,TOT,61,53.20,54.86,-0.11,0.0081,0.067,108,4.86,0.0007
2,2014,Exxon,XOM,101,97.43,106.16,1.66,0.0069,0.063,110,4.72,0.0009
2,2014,BP,BP,50,89.58,93.96,2.38,0.0059,0.063,110,4.72,0.0009
2,2014,Equinor,EQNR,30,18.07,23.26,-2.36,0.0117,0.063,110,4.72,0.0009
2,2014,Chevron,CVX,124,48.91,55.58,-1.05,0.0107,0.063,110,4.72,0.0009
2,2014,Shell,RDS-A,83,103.31,111.22,0.77,0.0094,0.063,110,4.72,0.0009
2,2014,Total,TOT,70,50.83,56.21,-1.52,0.0084,0.063,110,4.72,0.0009
3,2014,Exxon,XOM,100,93.99,103.57,4.20,0.0069,0.062,102,4.46,0.0009
3,2014,BP,BP,48,90.91,93.90,4.14,0.0059,0.062,102,4.46,0.0009
3,2014,Equinor,EQNR,29,20.21,22.87,0.03,0.0029,0.062,102,4.46,0.0009
3,2014,Chevron,CVX,128,45.82,51.82,0.42,0.0107,0.062,102,4.46,0.0009
3,2014,Shell,RDS-A,84,101.29,107.85,4.94,0.0094,0.062,102,4.46,0.0009
3,2014,Total,TOT,66,49.07,54.22,0.91,0.0077,0.062,102,4.46,0.0009
4,2014,Exxon,XOM,93,77.12,82.62,-1.47,0.0069,0.058,76,3.43,0.0010
4,2014,BP,BP,41,76.21,74.00,1.35,0.0060,0.058,76,3.43,0.0010
4,2014,Equinor,EQNR,21,18.49,19.77,-0.78,0.0021,0.058,76,3.43,0.0010
4,2014,Chevron,CVX,114,40.70,42.11,-3.17,0.0107,0.058,76,3.43,0.0010
4,2014,Shell,RDS-A,72,91.21,92.37,0.78,0.0094,0.058,76,3.43,0.0010
4,2014,Total,TOT,56,53.99,46.73,0.02,0.0075,0.058,76,3.43,0.0010
1,2015,Exxon,XOM,89,60.90,64.76,1.15,0.0069,0.056,54,2.88,0.0011
1,2015,BP,BP,39,52.29,54.20,-2.78,0.0060,0.056,54,2.88,0.0011
1,2015,Equinor,EQNR,18,18.13,14.90,-0.20,0.0024,0.056,54,2.88,0.0011
1,2015,Chevron,CVX,107,31.65,32.32,-5.28,0.0107,0.056,54,2.88,0.0011
1,2015,Shell,RDS-A,66,62.63,65.71,0.89,0.0094,0.056,54,2.88,0.0011
1,2015,Total,TOT,51,34.49,36.96,-3.57,0.0067,0.056,54,2.88,0.0011
2,2015,Exxon,XOM,86,67.07,71.36,1.68,0.0073,0.055,62,3.01,0.0013
2,2015,BP,BP,42,89.55,93.96,2.38,0.0060,0.055,62,3.01,0.0013
2,2015,Equinor,EQNR,19,11.85,15.81,-1.89,0.0023,0.055,62,3.01,0.0013
2,2015,Chevron,CVX,105,38.99,36.83,-0.42,0.0107,0.055,62,3.01,0.0013
2,2015,Shell,RDS-A,62,67.91,77.78,-0.16,0.0094,0.055,62,3.01,0.0013
2,2015,Total,TOT,52,35.57,39.27,-1.26,0.0068,0.055,62,3.01,0.0013
3,2015,Exxon,XOM,77,61.52,65.68,2.77,0.0073,0.052,50,2.66,0.0013
3,2015,BP,BP,35,54.50,54.73,0.83,0.0060,0.052,50,2.66,0.0013
3,2015,Equinor,EQNR,16,12.33,13.24,1.12,0.0022,0.052,50,2.66,0.0013
3,2015,Chevron,CVX,84,31.53,32.77,-1.45,0.0107,0.052,50,2.66,0.0013
3,2015,Shell,RDS-A,54,77.78,68.71,4.82,0.0094,0.052,50,2.66,0.0013
3,2015,Total,TOT,47,33.65,34.90,0.72,0.0069,0.052,50,2.66,0.0013
4,2015,Exxon,XOM,80,57.12,57.69,-1.76,0.0073,0.052,44,2.47,0.0016
4,2015,BP,BP,34,51.49,49.17,0.68,0.0060,0.052,44,2.47,0.0016
4,2015,Equinor,EQNR,16,12.62,12.81,-1.00,0.0022,0.052,44,2.47,0.0016
4,2015,Chevron,CVX,90,31.46,28.01,-2.89,0.0107,0.052,44,2.47,0.0016
4,2015,Shell,RDS-A,51,59.90,58.15,-1.88,0.0094,0.052,44,2.47,0.0016
4,2015,Total,TOT,48,37.37,32.29,-1.08,0.0066,0.052,44,2.47,0.0016
1,2016,Exxon,XOM,80,46.90,47.11,0.21,0.0073,0.050,34,2.13,0.0036
1,2016,BP,BP,30,39.58,38.51,-2.51,0.0060,0.050,34,2.13,0.0036
1,2016,Equinor,EQNR,14,9.05,10.09,-0.62,0.0022,0.050,34,2.13,0.0036
1,2016,Chevron,CVX,87,25.26,23.07,-4.43,0.0107,0.050,34,2.13,0.0036
1,2016,Shell,RDS-A,45,50.00,48.55,-4.66,0.0094,0.050,34,2.13,0.0036
1,2016,Total,TOT,44,26.65,27.52,-2.27,0.0069,0.050,34,2.13,0.0036
2,2016,Exxon,XOM,88,55.22,56.36,0.25,0.0075,0.050,46,3.13,0.0037
2,2016,BP,BP,32,50.14,47.28,-0.40,0.0060,0.050,46,3.13,0.0037
2,2016,Equinor,EQNR,16,10.59,10.81,-1.75,0.0022,0.050,46,3.13,0.0037
2,2016,Chevron,CVX,100,31.27,27.84,-1.94,0.0107,0.050,46,3.13,0.0037
2,2016,Shell,RDS-A,51,58.54,58.42,-3.50,0.0094,0.050,46,3.13,0.0037
2,2016,Total,TOT,48,29.96,31.71,-1.21,0.0069,0.050,46,3.13,0.0037
3,2016,Exxon,XOM,89,55.35,56.77,1.95,0.0075,0.050,46,3.02,0.0039
3,2016,BP,BP,35,47.66,47.05,-0.87,0.0060,0.050,46,3.02,0.0039
3,2016,Equinor,EQNR,16,11.32,12.09,1.00,0.0022,0.050,46,3.02,0.0039
3,2016,Chevron,CVX,102,28.97,29.16,1.25,0.0107,0.050,46,3.02,0.0039
3,2016,Shell,RDS-A,53,60.13,61.86,3.21,0.0094,0.050,46,3.02,0.0039
3,2016,Total,TOT,48,29.90,31.83,0.62,0.0067,0.050,46,3.02,0.0039
4,2016,Exxon,XOM,87,60.20,58.38,3.51,0.0075,0.048,49,3.94,0.0045
4,2016,BP,BP,35,51.33,51.01,-2.23,0.0060,0.048,49,3.94,0.0045
4,2016,Equinor,EQNR,17,14.96,12.70,-1.79,0.0022,0.048,49,3.94,0.0045
4,2016,Chevron,CVX,109,30.93,30.14,-0.15,0.0108,0.048,49,3.94,0.0045
4,2016,Shell,RDS-A,55,62.55,64.77,3.46,0.0094,0.048,49,3.94,0.0045
4,2016,Total,TOT,48,36.82,36.87,1.28,0.0065,0.048,49,3.94,0.0045
